model_tag,limit_s,n,model_score_mean,vbs_score_mean,sbs_score_mean,gap_model_vs_vbs,gap_sbs_vs_vbs
global,1.0,600,599.345,617.3083333333333,612.1498888888889,17.963333333333253,5.158444444444399
global,5.0,600,688.2983333333333,699.795,686.0006666666667,11.49666666666667,13.79433333333327
global,10.0,600,692.0783333333334,705.83,686.4686666666666,13.751666666666665,19.36133333333339
global,20.0,600,698.7005555555555,712.5016666666667,693.7941111111111,13.80111111111114,18.707555555555587
global,40.0,600,704.1072222222222,717.5883333333334,700.7033333333334,13.481111111111204,16.88499999999999
per-limit-1.0s,1.0,600,599.6505555555556,617.3083333333333,612.1498888888889,17.65777777777771,5.158444444444399
per-limit-10.0s,10.0,600,692.3183333333334,705.83,686.4686666666666,13.511666666666656,19.36133333333339
per-limit-20.0s,20.0,600,698.9394444444445,712.5016666666667,693.7941111111111,13.562222222222204,18.707555555555587
per-limit-40.0s,40.0,600,704.98,717.5883333333334,700.7033333333334,12.608333333333348,16.88499999999999
per-limit-5.0s,5.0,600,687.8683333333333,699.795,686.0006666666667,11.92666666666662,13.79433333333327
