model_tag,limit_s,win,tie,loss,n,win_rate,tie_rate,loss_rate,p_ge_sbs
global,1.0,88.0,555.0,57.0,700.0,0.12571428571428572,0.7928571428571428,0.08142857142857143,0.9185714285714286
global,5.0,207.0,431.0,62.0,700.0,0.2957142857142857,0.6157142857142858,0.08857142857142856,0.9114285714285715
global,10.0,258.0,363.0,79.0,700.0,0.36857142857142855,0.5185714285714286,0.11285714285714285,0.8871428571428571
global,20.0,294.0,358.0,48.0,700.0,0.42,0.5114285714285715,0.06857142857142857,0.9314285714285714
global,40.0,333.0,334.0,33.0,700.0,0.4757142857142857,0.47714285714285715,0.047142857142857146,0.9528571428571428
per-limit-1.0s,1.0,80.0,573.0,47.0,700.0,0.11428571428571428,0.8185714285714286,0.06714285714285714,0.9328571428571428
per-limit-10.0s,10.0,265.0,355.0,80.0,700.0,0.37857142857142856,0.5071428571428571,0.11428571428571428,0.8857142857142857
per-limit-20.0s,20.0,292.0,352.0,56.0,700.0,0.41714285714285715,0.5028571428571429,0.08,0.92
per-limit-40.0s,40.0,329.0,333.0,38.0,700.0,0.47,0.4757142857142857,0.054285714285714284,0.9457142857142857
per-limit-5.0s,5.0,210.0,426.0,64.0,700.0,0.3,0.6085714285714285,0.09142857142857143,0.9085714285714286
