model_tag,limit_s,n,acc_model,acc_sbs,acc_diff,mcnemar_p,regret_abs_mean_model,regret_abs_mean_sbs,regret_abs_delta_model_minus_sbs,delta_score_mean,delta_score_ci_lo,delta_score_ci_hi,wilcoxon_p_regret_delta,within_0_1pct_vbs,within_1pct_vbs,within_5pct_vbs,win_vs_sbs,tie_vs_sbs,loss_vs_sbs
global,1.0,700,0.8171428571428572,0.47285714285714286,0.3442857142857143,4.858315783385193e-65,17.348095238095237,17.49809523809524,-0.15,0.15,-0.8058809523809523,1.0773214285714283,0.2605604937189546,0.4585714285714286,0.5128571428571429,0.7671428571428571,0.12571428571428572,0.7928571428571428,0.08142857142857143
per-limit-1.0s,1.0,700,0.8142857142857143,0.47285714285714286,0.3414285714285714,8.670904689717221e-68,17.107142857142858,17.49809523809524,-0.39095238095238105,0.39095238095238105,-0.44063095238095257,1.2033928571428567,0.10004274541047221,0.47285714285714286,0.5271428571428571,0.7742857142857142,0.11428571428571428,0.8185714285714286,0.06714285714285714
global,5.0,700,0.7485714285714286,0.18714285714285714,0.5614285714285714,4.895204026252089e-115,12.143809523809525,17.932380952380953,-5.788571428571427,5.788571428571427,4.2724642857142845,7.325892857142856,3.5130701420570913e-17,0.4785714285714286,0.5671428571428572,0.8814285714285715,0.2957142857142857,0.6157142857142858,0.08857142857142856
per-limit-5.0s,5.0,700,0.7614285714285715,0.18714285714285714,0.5742857142857143,9.998790287146262e-118,12.049523809523809,17.932380952380953,-5.882857142857142,5.882857142857142,4.324511904761904,7.46292857142857,5.05116043225353e-17,0.4757142857142857,0.5628571428571428,0.8814285714285715,0.3,0.6085714285714285,0.09142857142857143
global,10.0,700,0.7871428571428571,0.13714285714285715,0.65,2.4614298058125813e-135,14.174285714285714,22.581904761904763,-8.407619047619049,8.407619047619049,6.58892857142857,10.231821428571426,1.8564487283200775e-23,0.3985714285714286,0.5414285714285715,0.8714285714285714,0.36857142857142855,0.5185714285714286,0.11285714285714285
per-limit-10.0s,10.0,700,0.7957142857142857,0.13714285714285715,0.6585714285714286,3.8963681423889115e-137,14.259047619047617,22.581904761904763,-8.322857142857142,8.322857142857142,6.487095238095239,10.160428571428568,3.097521722652142e-23,0.3942857142857143,0.5342857142857143,0.8771428571428571,0.37857142857142856,0.5071428571428571,0.11428571428571428
global,20.0,700,0.8442857142857143,0.13,0.7142857142857143,7.683164954201506e-149,14.690476190476188,28.19857142857143,-13.508095238095237,13.508095238095237,11.50325,15.606976190476185,6.280670613933963e-37,0.39,0.55,0.9,0.42,0.5114285714285715,0.06857142857142857
per-limit-20.0s,20.0,700,0.8371428571428572,0.13,0.7071428571428572,2.434173294436485e-147,15.505714285714285,28.19857142857143,-12.692857142857143,12.692857142857143,10.494964285714282,14.929178571428569,5.004329493698734e-33,0.38142857142857145,0.54,0.8914285714285715,0.41714285714285715,0.5028571428571429,0.08
global,40.0,700,0.8614285714285714,0.11714285714285715,0.7442857142857143,3.816572796043856e-155,14.660476190476189,33.06666666666666,-18.406190476190474,18.406190476190474,15.698321428571429,21.091440476190478,5.812889344570048e-44,0.3914285714285714,0.5471428571428572,0.9042857142857142,0.4757142857142857,0.47714285714285715,0.047142857142857146
per-limit-40.0s,40.0,700,0.86,0.11714285714285715,0.7428571428571429,7.618578520347086e-155,15.028571428571428,33.06666666666666,-18.03809523809524,18.03809523809524,15.32708333333333,20.701202380952378,6.374711078041786e-42,0.39,0.5442857142857143,0.9014285714285715,0.47,0.4757142857142857,0.054285714285714284
