model_tag,limit_s,n,win,tie,loss,win_rate,tie_rate,loss_rate
global,1.0,700,87,556,57,0.12428571428571429,0.7942857142857143,0.08142857142857143
global,5.0,700,206,432,62,0.29428571428571426,0.6171428571428571,0.08857142857142856
global,10.0,700,256,367,77,0.3657142857142857,0.5242857142857142,0.11
global,20.0,700,294,359,47,0.42,0.5128571428571429,0.06714285714285714
global,40.0,700,333,336,31,0.4757142857142857,0.48,0.04428571428571428
per-limit-1.0s,1.0,700,79,574,47,0.11285714285714285,0.82,0.06714285714285714
per-limit-10.0s,10.0,700,262,360,78,0.3742857142857143,0.5142857142857142,0.11142857142857143
per-limit-20.0s,20.0,700,292,353,55,0.41714285714285715,0.5042857142857143,0.07857142857142857
per-limit-40.0s,40.0,700,329,335,36,0.47,0.4785714285714286,0.05142857142857143
per-limit-5.0s,5.0,700,209,427,64,0.2985714285714286,0.61,0.09142857142857143
