feature,pi_acc_mean,pi_acc_std,pi_f1_macro_mean,pi_f1_macro_std
budget,0.04124999999999998,0.007158465090295528,0.1264961489917341,0.019391836664236734
budget_per_node,0.03285714285714286,0.00931314629314666,0.06980204640106712,0.024184079003343777
mst__degree_avg,0.021785714285714297,0.004559694762429908,0.0539868384074627,0.014645793213551984
nodes,0.01946428571428574,0.005575891069998578,0.0509757350572352,0.016271676138874785
rad_0_5__degree_avg,0.012321428571428567,0.005389781525995198,0.047524801374343936,0.015157900562320383
knn_3__component_largest,0.003214285714285711,0.0021128856368212673,0.013615507323597523,0.0042294297923251775
mst__mst_edge_sum_per_sqrtA,0.004107142857142851,0.004068137767819468,0.01158742530947103,0.005392723107839779
knn_8__clustering_avg,0.006785714285714284,0.0030093392047058423,0.010953358143050401,0.0044912515703747135
density,0.0028571428571428775,0.0018898223650461378,0.009813369221654336,0.004503535596361419
knn_12__clustering_avg,0.002142857142857127,0.0032732683535398733,0.008281121486885493,0.0036090328182702145
knn_8__degree_avg,0.004821428571428574,0.004680479436457538,0.007904914158984117,0.009425063009556173
knn_5__clustering_avg,0.0021428571428571547,0.002142857142857145,0.007693164861918983,0.003742311678893442
rad_0_5__degree_min,0.0007142857142857229,0.001597191412499869,0.007054214044751511,0.0028261101689892607
mst__mst_edge_sum,0.0016071428571428764,0.0019479843061849724,0.00571287842192543,0.003331583068581685
mst__mst_diameter,0.002678571428571447,0.0016656034023372832,0.005201495949137672,0.002446102748296587
knn_3__components,0.0028571428571428914,0.0007142857142857229,0.00493341061339074,0.0022405546181431583
nng_plain__degree_avg,0.0028571428571428775,0.001428571428571418,0.004810115180315627,0.003286648177568175
delaunay__degree_avg,0.0008928571428571397,0.0034209364394050183,0.004718680634849259,0.0059097860582370465
knn_5__degree_avg,0.0010714285714285843,0.0017127969726117062,0.004548576443690902,0.003609661350424571
knn_3__degree_max,0.00250000000000003,0.0013832083379312367,0.004036077256880488,0.002533546478302784
knn_3__degree_avg,0.0021428571428571547,0.002020305089104421,0.003992247830682735,0.003250679635150007
knn_3__component_avg_size,0.0007142857142857229,0.0007142857142857229,0.003972610354609385,0.001546819496290614
hull_compactness,0.002500000000000016,0.0024484480715718125,0.003256263618766561,0.003333075093244041
knn_5__components,0.0016071428571428764,0.0008563984863058531,0.003086056824754768,0.0012613154914322383
knn_8__degree_max,0.0017857142857143071,0.0017127969726117062,0.002818269808753604,0.003015944777691618
rad_1_0__clustering_avg,1.3877787807814457e-17,0.0031943828249997065,0.002711331067593206,0.004305341575441253
mst__mst_edge_max,0.0008928571428571397,0.0024679062430509402,0.0025599713709099775,0.0038115280042704796
delaunay__clustering_avg,0.001250000000000015,0.0021943224513294025,0.002219031527381621,0.0052288510226621175
knn_12__degree_max,0.0007142857142857229,0.0021428571428571686,0.0017922323486103259,0.004250254695923034
nng_plain__component_largest,0.001250000000000015,0.0015046696023529392,0.001677974188280279,0.0022014245087346998
hull_perimeter,0.0010714285714285843,0.0022303564279994546,0.0015272924092662316,0.0042544769351156204
mst__mst_edge_max_per_sqrtA,0.0001785714285714307,0.0016656034023373083,0.0015270266995551923,0.001968359159645172
knn_8__components,0.0001785714285714307,0.0008563984863058531,0.0010310549055665974,0.0016206046804855179
nng_plain__degree_max,0.0001785714285714307,0.0011151782139997273,0.0006685902149007605,0.0021768543106704314
knn_12__components,0.0003571428571428614,0.0013832083379312367,0.0003412522590039435,0.0025861503670235163
delaunay__degree_max,-0.0003571428571428614,0.0017127969726117062,0.0001370540033852896,0.0027049758658809504
nng_plain__clustering_avg,0.0,0.0,0.0,0.0
rad_0_5__clustering_avg,0.0005357142857142921,0.0020123977981401395,-0.00015836233890596796,0.0031602334454293142
knn_5__degree_max,0.0001785714285714307,0.0011151782139997273,-0.0006777834836236285,0.0017317670567791091
mst__mst_edge_sum_units_s,0.001250000000000015,0.002618371124752742,-0.0009683971300884775,0.005250629751932063
knn_3__clustering_avg,-0.0021428571428571547,0.0021428571428571456,-0.0014275729846630059,0.003909031253428928
mst__mst_edge_sum_units_m,-0.0021428571428571686,0.0022587697572631553,-0.0016496256061675901,0.004579576841063196
knn_12__degree_avg,-0.0016071428571428764,0.0020748125068968553,-0.0017634062789095573,0.003924634677995982
hull_vertices,-0.0023214285714285993,0.0014173667737846193,-0.004872435090909746,0.003330745580167825
hull_area,-0.0025000000000000022,0.0022303564279994147,-0.005000384507524602,0.002799834439343024
