model_tag,limit_s,n,acc_model,acc_sbs,acc_diff,model_score_mean,sbs_score_mean,vbs_score_mean,regret_abs_mean_model,regret_abs_mean_sbs,regret_abs_delta_model_minus_sbs,delta_score_mean,delta_score_ci_lo,delta_score_ci_hi,within_0_1pct_vbs,within_1pct_vbs,within_5pct_vbs,mcnemar_p
global,1.0,700,0.5957142857142858,0.7628571428571429,-0.16714285714285715,566.9647619047619,566.814761904762,584.3128571428572,17.348095238095237,17.498095238095278,-0.1500000000000412,0.1500000000000312,-22.781488095238082,21.89822619047621,0.4585714285714286,0.5128571428571429,0.7671428571428571,2.176419779522262e-12
per-limit-1.0s,1.0,700,0.5957142857142858,0.7628571428571429,-0.16714285714285715,567.2057142857143,566.814761904762,584.3128571428572,17.107142857142858,17.498095238095278,-0.39095238095242024,0.39095238095239826,-22.502761904761886,22.366750000000014,0.47285714285714286,0.5271428571428571,0.7742857142857142,8.090097370882472e-13
global,5.0,700,0.44857142857142857,0.5571428571428572,-0.1085714285714286,700.4090476190477,694.6204761904763,712.5528571428572,12.143809523809525,17.932380952380917,-5.788571428571393,5.788571428571397,-23.32741666666669,35.63972619047615,0.4785714285714286,0.5671428571428572,0.8814285714285715,0.0002699659774140088
per-limit-5.0s,5.0,700,0.45714285714285713,0.5571428571428572,-0.10000000000000003,700.5033333333334,694.6204761904763,712.5528571428572,12.049523809523809,17.932380952380917,-5.882857142857109,5.882857142857106,-23.384857142857168,35.680857142857114,0.4757142857142857,0.5628571428571428,0.8814285714285715,0.0008802590937338925
global,10.0,700,0.46,0.5357142857142857,-0.07571428571428568,755.6185714285714,747.2109523809523,769.7928571428571,14.174285714285714,22.581904761904845,-8.40761904761913,8.407619047619109,-24.958619047618985,41.184464285714256,0.3985714285714286,0.5414285714285715,0.8714285714285714,0.020327242854327406
per-limit-10.0s,10.0,700,0.46714285714285714,0.5357142857142857,-0.06857142857142856,755.5338095238095,747.2109523809523,769.7928571428571,14.259047619047617,22.581904761904845,-8.322857142857227,8.322857142857206,-25.323452380952332,40.80015476190474,0.3942857142857143,0.5342857142857143,0.8771428571428571,0.0365669888835458
global,20.0,700,0.5071428571428571,0.5128571428571429,-0.005714285714285783,828.0909523809523,814.5828571428572,842.7814285714286,14.690476190476188,28.198571428571388,-13.5080952380952,13.508095238095203,-28.181226190476213,55.460511904761866,0.39,0.55,0.9014285714285715,0.8957475666941855
per-limit-20.0s,20.0,700,0.5014285714285714,0.5128571428571429,-0.011428571428571455,827.2757142857142,814.5828571428572,842.7814285714286,15.505714285714285,28.198571428571388,-12.692857142857102,12.692857142857106,-29.411285714285746,54.48289285714283,0.38142857142857145,0.54,0.8928571428571429,0.759347902052439
global,40.0,700,0.5271428571428571,0.48142857142857143,0.04571428571428571,920.8009523809525,902.3947619047619,935.4614285714285,14.660476190476189,33.06666666666661,-18.406190476190424,18.40619047619043,-37.678238095238136,75.10428571428562,0.3914285714285714,0.5471428571428572,0.9042857142857142,0.18214230756115274
per-limit-40.0s,40.0,700,0.5257142857142857,0.48142857142857143,0.04428571428571426,920.4328571428572,902.3947619047619,935.4614285714285,15.028571428571428,33.06666666666661,-18.038095238095185,18.03809523809519,-38.1723928571429,74.25676190476173,0.39,0.5442857142857143,0.9014285714285715,0.19624462487489214
