model_tag,limit_s,n,acc_model,acc_sbs,acc_diff
global,1.0,700,0.5957142857142858,0.7628571428571429,-0.16714285714285715
global,5.0,700,0.44857142857142857,0.5571428571428572,-0.1085714285714286
global,10.0,700,0.46,0.5357142857142857,-0.07571428571428568
global,20.0,700,0.5071428571428571,0.5128571428571429,-0.005714285714285783
global,40.0,700,0.5271428571428571,0.48142857142857143,0.04571428571428571
per-limit-1.0s,1.0,700,0.5957142857142858,0.7628571428571429,-0.16714285714285715
per-limit-10.0s,10.0,700,0.46714285714285714,0.5357142857142857,-0.06857142857142856
per-limit-20.0s,20.0,700,0.5014285714285714,0.5128571428571429,-0.011428571428571455
per-limit-40.0s,40.0,700,0.5257142857142857,0.48142857142857143,0.04428571428571426
per-limit-5.0s,5.0,700,0.45714285714285713,0.5571428571428572,-0.10000000000000003
