model_tag,limit_s,n,win_vs_sbs,tie_vs_sbs,loss_vs_sbs
global,1.0,700,0.4228571428571429,0.0,0.5771428571428572
global,5.0,700,0.42857142857142855,0.0,0.5714285714285714
global,10.0,700,0.42,0.0,0.58
global,20.0,700,0.38571428571428573,0.0,0.6142857142857143
global,40.0,700,0.3442857142857143,0.0,0.6557142857142857
per-limit-1.0s,1.0,700,0.42428571428571427,0.0,0.5757142857142857
per-limit-10.0s,10.0,700,0.41714285714285715,0.0,0.5828571428571429
per-limit-20.0s,20.0,700,0.3842857142857143,0.0,0.6157142857142858
per-limit-40.0s,40.0,700,0.3457142857142857,0.0,0.6542857142857142
per-limit-5.0s,5.0,700,0.43,0.0,0.57
