model_tag,limit_s,n,pred_frac_vns,pred_frac_ils,pred_frac_grasp,pred_frac_greedy
global,1.0,700,0.5142857142857142,0.05857142857142857,0.2842857142857143,0.14285714285714285
per-limit-1.0s,1.0,700,0.5285714285714286,0.06571428571428571,0.25142857142857145,0.15428571428571428
global,5.0,700,0.26857142857142857,0.07285714285714286,0.5314285714285715,0.12714285714285714
per-limit-5.0s,5.0,700,0.2542857142857143,0.08285714285714285,0.5271428571428571,0.1357142857142857
global,10.0,700,0.15428571428571428,0.06285714285714286,0.7071428571428572,0.07571428571428572
per-limit-10.0s,10.0,700,0.14857142857142858,0.07142857142857142,0.71,0.07
global,20.0,700,0.14142857142857143,0.04428571428571428,0.7642857142857142,0.05
per-limit-20.0s,20.0,700,0.14142857142857143,0.04428571428571428,0.77,0.04428571428571428
global,40.0,700,0.12571428571428572,0.06285714285714286,0.78,0.03142857142857143
per-limit-40.0s,40.0,700,0.12142857142857143,0.06142857142857143,0.7842857142857143,0.032857142857142856
